GRSM3,GRSM4,HARV1,HARV4,LENO1,LENO2,LENO3,LENO4,OSBS1,OSBS2,SCBI1,UNDE3,WREF2,WREF4
0.084190434,0.087626265,0.076677747,0.072744327,0.11164645,0.090038352,0.082500163,0.074067169,0.083459363,0.057013013,0.100249599,0.088656172,0.037920655,0.072486079
0.081932429,0.083785217,0.070555981,0.066855909,0.103856385,0.084354682,0.077692263,0.069675438,0.080557614,0.055198005,0.094834434,0.081376813,0.036534126,0.0669485
0.079674424,0.07994417,0.064434216,0.060967492,0.096066319,0.078671012,0.072884364,0.065283708,0.077655864,0.053382998,0.089419268,0.074097455,0.035147598,0.06141092
0.077416419,0.076103122,0.05831245,0.055079074,0.088276254,0.072987342,0.068076464,0.060891977,0.074754115,0.05156799,0.084004103,0.066818096,0.033761069,0.055873341
0.075158413,0.072262075,0.052190685,0.049190657,0.080486189,0.067303672,0.063268564,0.056500246,0.071852366,0.049752982,0.078588938,0.059538737,0.032374541,0.050335762
0.072900408,0.068421027,0.046068919,0.043302239,0.072696124,0.061620002,0.058460664,0.052108515,0.068950617,0.047937974,0.073173773,0.052259378,0.030988012,0.044798183
0.070642403,0.06457998,0.039947154,0.037413822,0.064906058,0.055936332,0.053652765,0.047716785,0.066048867,0.046122967,0.067758607,0.04498002,0.029601484,0.039260603
0.068384398,0.060738932,0.033825388,0.031525404,0.057115993,0.050252662,0.048844865,0.043325054,0.063147118,0.044307959,0.062343442,0.037700661,0.028214955,0.033723024
0.068346634,0.058301338,0.032649868,0.030478485,0.054485523,0.048192165,0.047052324,0.041608366,0.06040206,0.042231182,0.059982219,0.036230166,0.027360659,0.032388224
0.068308871,0.055863744,0.031474348,0.029431565,0.051855053,0.046131668,0.045259784,0.039891678,0.057657002,0.040154405,0.057620996,0.03475967,0.026506364,0.031053424
0.068271107,0.05342615,0.030298828,0.028384646,0.049224583,0.044071172,0.043467243,0.03817499,0.054911945,0.038077628,0.055259773,0.033289175,0.025652068,0.029718624
0.068233344,0.050988556,0.029123307,0.027337726,0.046594113,0.042010675,0.041674703,0.036458302,0.052166887,0.036000851,0.052898551,0.031818679,0.024797773,0.028383825
0.06819558,0.048550962,0.027947787,0.026290807,0.043963643,0.039950178,0.039882162,0.034741614,0.049421829,0.033924074,0.050537328,0.030348184,0.023943477,0.027049025
0.068157816,0.046113368,0.026772267,0.025243887,0.041333173,0.037889681,0.038089622,0.033024926,0.046676771,0.031847296,0.048176105,0.028877688,0.023089182,0.025714225
0.068120053,0.043675773,0.025596747,0.024196968,0.038702702,0.035829184,0.036297081,0.031308238,0.043931714,0.029770519,0.045814882,0.027407193,0.022234886,0.024379425
0.068082289,0.041238179,0.024421227,0.023150049,0.036072232,0.033768687,0.03450454,0.02959155,0.041186656,0.027693742,0.043453659,0.025936697,0.02138059,0.023044625
0.068044526,0.038800585,0.023245706,0.022103129,0.033441762,0.03170819,0.032712,0.027874862,0.038441598,0.025616965,0.041092436,0.024466201,0.020526295,0.021709825
0.068006762,0.036362991,0.022070186,0.02105621,0.030811292,0.029647694,0.030919459,0.026158174,0.03569654,0.023540188,0.038731214,0.022995706,0.019671999,0.020375026
0.067968999,0.033925397,0.020894666,0.02000929,0.028180822,0.027587197,0.029126919,0.024441486,0.032951483,0.021463411,0.036369991,0.021525211,0.018817704,0.019040226
0.067931235,0.031487803,0.019719146,0.018962371,0.025550352,0.0255267,0.027334378,0.022724798,0.030206425,0.019386634,0.034008768,0.020054715,0.017963408,0.017705426
