,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.126150813,0.504603253,0.084190434,0.336761735,0.18729624,0.749184961,0.041773083,0.167092333
11,0.105069675,1.240090976,0.068384398,0.815452521,0.102313166,1.465377121,0.036582964,0.423173078
25,0.097989009,2.611937107,0.067931235,1.766489817,0.064533029,2.368839528,0.029993241,0.843078451
39,0.096091303,3.957215348,0.067581548,2.712631492,0.039047738,2.915507864,0.028470707,1.241668348
53,0.08940395,5.208870645,0.059553198,3.546376264,0.053972324,3.6711204,0.02979678,1.658823261
67,0.09352936,6.518281684,0.068827887,4.509966687,0.050089553,4.372374145,0.024651383,2.003942623
81,0.085796689,7.719435336,0.064016688,5.406200313,0.044609628,4.996908939,0.021735392,2.308238114
95,0.077686906,8.80705202,0.059606018,6.240684572,0.041328109,5.575502466,0.018039559,2.560791945
109,0.068444004,9.765268075,0.051363406,6.959772257,0.032824243,6.035041867,0.017047774,2.799460776
123,0.059496825,10.59822362,0.044431897,7.581818818,0.032989902,6.496900495,0.015031938,3.009907904
137,0.052370474,11.33141025,0.038531206,8.121255709,0.030440367,6.923065626,0.013808827,3.20323148
151,0.05352789,12.08080071,0.040353429,8.686203716,0.029897614,7.341632223,0.013144563,3.387255359
179,0.050821702,13.50380835,0.038775735,9.771924291,0.029857889,8.177653121,0.012016109,3.723706407
207,0.04569017,14.7831331,0.034595018,10.74058479,0.036830447,9.208905645,0.011058321,4.033339405
235,0.056519615,16.36568231,0.044743011,11.9933891,0.044931326,10.46698279,0.011731672,4.361826229
263,0.052120219,17.82504843,0.040416565,13.12505291,0.045416597,11.73864751,0.011658237,4.688256877
291,0.053396893,19.32016144,0.042323549,14.31011227,0.050349311,13.14842823,0.011022995,4.996900738
319,0.049185135,20.69734521,0.039004136,15.40222809,0.058020235,14.77299481,0.010122978,5.280344125
347,0.054015102,22.20976807,0.043746577,16.62713225,0.068917153,16.7026751,0.010199608,5.565933147
375,0.04874962,23.57475744,0.039756781,17.74032211,0.069355218,18.6446212,0.008923484,5.815790709
403,0.044836208,24.83017126,0.037086258,18.77873732,0.088149603,21.11281007,0.007661801,6.030321128
431,0.038068167,25.89607992,0.030926531,19.64468019,0.103637352,24.01465592,0.007037998,6.227385074
459,0.03202488,26.79277655,0.024912693,20.3422356,0.11548545,27.24824854,0.006996701,6.423292699
487,0.025814256,27.51557572,0.018477324,20.85960067,0.090594569,29.78489646,0.007246338,6.626190152
515,0.021971497,28.13077763,0.014308136,21.26022849,0.064062265,31.57863988,0.007599298,6.838970498
543,0.019133709,28.66652148,0.010737807,21.56088708,0.043591985,32.79921546,0.008352311,7.072835194
571,0.015100645,29.08933956,0.007245301,21.76375549,0.031921508,33.69301767,0.007823423,7.291891043
