,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.10984983,0.4393993,0.08214316,0.32857265,0.08951491,0.35805964,0.02761715,0.1104686
11,0.11206228,1.22383526,0.08698653,0.93747839,0.06612583,0.82094043,0.02500962,0.28553593
25,0.09212913,2.51364306,0.06789123,1.88795561,0.05174904,1.54542701,0.02418615,0.62414203
39,0.10157693,3.93572009,0.0815082,3.02907046,0.05826496,2.3611364,0.02001046,0.90428849
53,0.0884789,5.17442475,0.06829112,3.98514616,0.05524643,3.13458643,0.02013254,1.186144
67,0.08064414,6.30344272,0.0639499,4.88044474,0.04812045,3.80827275,0.01664612,1.4191897
81,0.07442667,7.34541606,0.05791865,5.69130586,0.04429179,4.42835785,0.01646372,1.64968185
95,0.06799586,8.29735817,0.05219429,6.42202586,0.03787559,4.95861607,0.0157637,1.8703737
109,0.06937493,9.26860723,0.05405908,7.17885299,0.03015094,5.38072921,0.0152857,2.08437351
123,0.07471792,10.3146581,0.05970084,8.01466477,0.0238455,5.71456618,0.01499323,2.29427879
137,0.07397926,11.3503678,0.05879277,8.83776356,0.02249328,6.02947211,0.015164,2.50657473
151,0.06286728,12.2305097,0.04858834,9.51800026,0.01797831,6.28116847,0.01426097,2.70622832
179,0.04969036,13.6218398,0.03658734,10.5424457,0.0159205,6.72694238,0.0130871,3.07266714
207,0.04745224,14.9505025,0.03537608,11.5329758,0.01505766,7.14855688,0.01206111,3.41037813
235,0.04704724,16.2678253,0.03537437,12.5234581,0.01575992,7.58983461,0.01165712,3.73677739
263,0.04595111,17.5544564,0.03494518,13.5019231,0.01593567,8.03603343,0.01099,4.04449727
291,0.04319537,18.7639268,0.03337064,14.4363011,0.01592038,8.48180392,0.00980881,4.31914394
319,0.04073561,19.9045239,0.03157483,15.3203963,0.0157404,8.922535,0.00914504,4.57520505
347,0.03966518,21.015149,0.03019506,16.1658579,0.01840224,9.43779779,0.00945172,4.83985321
375,0.03593714,22.0213889,0.02772625,16.942193,0.01667489,9.90469478,0.00819421,5.0692912
403,0.03078577,22.8833904,0.02313347,17.5899303,0.01602862,10.3534962,0.00763627,5.2831067
431,0.03025037,23.7304009,0.02291793,18.2316324,0.01605593,10.8030621,0.00731638,5.48796543
459,0.02888924,24.5392997,0.02182251,18.8426627,0.01667736,11.2700281,0.00705005,5.68536695
487,0.02806848,25.3252171,0.02148742,19.4443106,0.01666499,11.7366477,0.00656439,5.86916988
515,0.02339631,25.9803137,0.01765395,19.9386211,0.01732669,12.221795,0.00572503,6.02947077
543,0.02380181,26.6467643,0.01749746,20.42855,0.01570073,12.6614154,0.00628865,6.20555291
571,0.02299775,27.2907013,0.01721458,20.9105581,0.01719636,13.1429135,0.00576598,6.3670003
