,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.120233,0.480933,0.091757,0.367026,0.15879,0.635159,0.028318,0.113272
11,0.076457,1.016134,0.050684,0.721815,0.119187,1.469467,0.025654,0.292849
25,0.055772,1.796943,0.032522,1.177128,0.078279,2.565376,0.023172,0.61725
39,0.056557,2.588742,0.033008,1.639233,0.067226,3.506543,0.023482,0.946002
53,0.065156,3.500929,0.039452,2.191558,0.044472,4.129149,0.02566,1.305242
67,0.071241,4.498303,0.04682,2.847039,0.046766,4.783877,0.024374,1.646479
81,0.073047,5.520959,0.049312,3.537411,0.039418,5.335734,0.023695,1.978213
95,0.070123,6.502681,0.048001,4.209422,0.033975,5.81139,0.022088,2.287447
109,0.068472,7.46129,0.048061,4.88228,0.03106,6.246229,0.02038,2.572764
123,0.070148,8.443362,0.050443,5.588484,0.02955,6.659925,0.019675,2.848219
137,0.069693,9.419064,0.051539,6.310034,0.028199,7.054714,0.018125,3.101975
151,0.060116,10.26069,0.04373,6.922257,0.027991,7.446585,0.016358,3.330985
179,0.056344,11.83833,0.042221,8.104453,0.024817,8.141473,0.014098,3.72574
207,0.054307,13.35894,0.041329,9.261657,0.02576,8.862743,0.012953,4.088424
235,0.052558,14.83057,0.040723,10.40191,0.023645,9.524793,0.011811,4.419141
263,0.049132,16.20628,0.03792,11.46366,0.023986,10.19641,0.011189,4.732421
291,0.047457,17.53507,0.03665,12.48987,0.024299,10.87679,0.010782,5.034326
319,0.042279,18.71889,0.033213,13.41983,0.023524,11.53547,0.009043,5.287522
347,0.037073,19.75693,0.026994,14.17567,0.025543,12.25066,0.010053,5.569011
375,0.025469,20.47007,0.019784,14.72963,0.022017,12.86715,0.005663,5.727578
403,0.022407,21.09748,0.015738,15.17029,0.021109,13.45822,0.006648,5.91373
431,0.022213,21.71945,0.016258,15.62551,0.019886,14.01502,0.005936,6.079925
459,0.021951,22.33408,0.015894,16.07056,0.019403,14.55831,0.006037,6.248968
487,0.015549,22.76945,0.009261,16.32985,0.018953,15.089,0.006269,6.424506
515,0.010423,23.0613,0.005287,16.47789,0.018808,15.61563,0.005118,6.567803
543,0.015782,23.5032,0.007424,16.68575,0.021496,16.2175,0.008337,6.801235
571,0.013671,23.88598,0.007311,16.89046,0.022154,16.83781,0.006337,6.978681
