,Obser_rate,Obser_total,litter_rate,litter_total,lignin_rate,lignin_total,soil_rate,soil_total
4,0.077406478,0.30962591,0.068213078,0.272852311,0.098723162,0.394892648,0.009094677,0.036378706
11,0.052065881,0.67408708,0.045424447,0.590823443,0.040000982,0.674899522,0.006601433,0.082588737
25,0.027444796,1.058314235,0.022945301,0.912057662,0.018941099,0.940074908,0.004480554,0.145316498
39,0.037485472,1.583110839,0.032017404,1.360301311,0.028543808,1.33968822,0.005439524,0.22146984
53,0.035409223,2.078839952,0.030199805,1.783098581,0.03040271,1.76532616,0.005179015,0.293976045
67,0.045532194,2.71629066,0.039651177,2.338215053,0.016948025,2.00259851,0.005864069,0.376073008
81,0.035127875,3.208080909,0.029958119,2.757628726,0.011549556,2.164292294,0.005158206,0.448287891
95,0.037281936,3.730028023,0.032190316,3.208293157,0.012872775,2.344511144,0.005078747,0.519390355
109,0.025411384,4.08578739,0.020516114,3.495518755,0.011066509,2.49944227,0.004884203,0.587769193
123,0.022702151,4.403617509,0.017444331,3.739739383,0.011772495,2.6642572,0.005246048,0.661213869
137,0.0178534,4.653565106,0.012346048,3.91258406,0.010752755,2.81479577,0.005496599,0.73816625
151,0.018125925,4.907328062,0.013032486,4.09503887,0.011306348,2.973084642,0.005082133,0.809316107
179,0.013700719,5.29094822,0.008731195,4.339512337,0.008109437,3.200148878,0.004961415,0.948235734
207,0.017516305,5.781404758,0.012238025,4.682177035,0.011310376,3.516839406,0.00526697,1.095710884
235,0.012540264,6.132532149,0.007799512,4.90056337,0.008118881,3.744168074,0.004732633,1.228224611
263,0.015862617,6.576685435,0.01068362,5.19970473,0.012862315,4.104312894,0.005166135,1.372876392
291,0.010562863,6.872445593,0.006459547,5.380572039,0.008603278,4.345204678,0.004094713,1.487528349
319,0.013031448,7.237326145,0.008213696,5.610555532,0.013299974,4.71760395,0.004804452,1.622053009
347,0.010840511,7.540860444,0.006270237,5.786122171,0.009882656,4.994318318,0.004560391,1.749743955
375,0.009911308,7.818377056,0.005522248,5.940745119,0.011054745,5.303851178,0.004378005,1.872328086
403,0.006230266,7.992824514,0.002636955,6.014579852,0.006444209,5.48428903,0.003586867,1.972760373
431,0.009343556,8.254444068,0.005646869,6.172692178,0.011034645,5.79325909,0.003685652,2.075958631
459,0.006789796,8.444558369,0.003698663,6.276254743,0.006923183,5.987108214,0.00308421,2.162316518
487,0.0090538,8.698064776,0.0050848,6.418629141,0.009723063,6.259353978,0.003959277,2.273176281
515,0.00568142,8.857144534,0.003028899,6.503438324,0.006493727,6.441178334,0.002646027,2.347265032
543,0.008016552,9.081608,0.003985027,6.615019071,0.009486483,6.706799858,0.004022039,2.459882129
571,0.005455758,9.234369212,0.002162166,6.67555971,0.00646158,6.887724098,0.00328713,2.551921778
